,index,participantID,bluetoothCount.daily,bluetoothUniqueDevice.daily,bluetoothMostUniqueScan.daily,batteryDischargeCount.daily,batteryChargeCount.daily,batteryDischargeCount.morning,batteryDischargeCount.evening,batteryChargeCount.evening,batteryDischargeCount.night,batteryChargeCount.night,screenUnlockCount.daily,screenUnlockRatio.daily,screenUnlockDuration.mean.daily,screenUnlockDuration.std.daily,screenUnlockCount.morning,screenUnlockRatio.morning,screenUnlockDuration.mean.morning,screenUnlockDuration.std.morning,screenUnlockCount.evening,screenUnlockRatio.evening,screenUnlockDuration.mean.evening,screenUnlockDuration.std.evening,wifiCount.daily,wifiUniqueDevice.daily,wifiMostUniqueScan.daily,wifiCount.morning,wifiUniqueDevice.morning,wifiMostUniqueScan.morning,wifiCount.evening,wifiUniqueDevice.evening,wifiMostUniqueScan.evening,wifiCount.night,wifiUniqueDevice.night,neoConscientiousness,neoNeuroticism,neoExtraversion,neoAgreeableness,neoOpenness,NegativeAffectivity,Detachment,Antagonism,Disinhibition,Psychoticism
10,10.0,221,12.0,9.0,0.0,1.0,2.0,1.2352941176470589,1.0,1.0,0.0,1.0,12.0,0.009375,3.0713861110000003,3.350503235,8.533333333333333,0.03149269446666667,8.433855931133333,14.7712176528,7.0,0.01971831,3.9484071430000003,4.078688721,850.0,3.0,574.2941176470588,91.0,1.0,210.92307692307693,282.0,3.0,135.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
11,11.0,221,22.0,12.0,0.0,7.0,7.0,2.0,2.0,2.0,0.0,1.0,53.0,0.037588652,3.806062893,6.7347880170000005,13.0,0.039393938999999996,3.166515385,2.33837608,18.0,0.05,4.931682407,9.655875862,1331.0,9.0,249.0,260.0,4.0,210.92307692307693,360.0,2.0,204.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
12,12.0,221,12.0,6.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,45.0,0.034351145,4.1860962960000005,6.1660822689999994,5.0,0.014492753999999998,6.63465,9.591337259,10.0,0.038461537999999997,3.751526667,4.424569788,1111.0,24.0,917.0,306.0,1.0,306.0,143.0,1.0,143.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
13,13.0,223,15.0,3.0,0.0,2.0,2.0,1.0,1.0,1.0,0.26666666666666666,1.0666666666666667,18.0,0.021176471000000002,22.91406574,77.28417687,3.0,0.011111111000000002,4.746311111,3.737193568,13.0,0.036619717999999996,9.370285897,17.47624416,418.0,4.0,310.0,103.0,3.0,210.92307692307693,270.0,1.0,270.0,352.0,1.6153846153846154,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
14,14.0,223,1.0,1.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,1.0,44.0,0.032835821,10.27654886,42.9123885,8.0,0.023880597000000003,7.979833332999999,14.63415117,5.0,0.017241378999999998,56.90117333,75.73156474784915,1031.0,17.0,480.0,274.0,3.0,90.0,87.0,2.0,135.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
15,15.0,223,11.0,5.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,55.0,0.038194444,3.995281515,8.866355185,12.0,0.033333333,5.501583332999999,13.37902376,16.0,0.04444444400000001,4.760002083,9.159488448,1398.0,9.0,918.0,322.0,2.0,249.0,357.0,4.0,125.0,359.0,6.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
16,16.0,223,10.9375,5.1875,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,24.0,0.021428571,4.0854868060000005,5.052543998,3.0,0.009090909,7.402338889,7.976823297,3.0,0.02,6.640977778,4.468959491000001,1010.0,5.0,876.0,326.0,1.0,326.0,68.0,4.0,12.0,360.0,1.0,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
17,17.0,223,1.0,1.0,0.0,1.0,5.0,1.0,1.8823529411764706,1.4705882352941178,0.0,1.0,29.0,0.1464894299506394,1.902936207,1.6586231519999999,19.0,0.131034483,2.132538596,1.931966325,13.529411764705882,0.04115453741176471,10.464497382882353,18.712319810941178,173.0,8.0,121.0,134.0,4.0,121.0,248.23529411764707,3.5294117647058822,135.0,352.0,1.6153846153846154,3.166666667,2.625,2.416666667,2.958333333,3.25,2.325396825,1.738095238,0.804761905,1.159863946,2.137826118971075
18,0.0,223,36.0,5.0,13.0,3.0,1.0,1.3333333333333333,3.0,1.0,0.5833333333333334,0.6666666666666666,15.0,0.042857143,6.550475556,7.614546796,9.266666666666667,0.03221324506666667,13.963077993799999,26.890174045,15.0,0.042857143,6.550475556,7.614546796,349.0,2.0,224.0,268.0,3.066666666666667,243.5,349.0,2.0,224.0,298.2857142857143,1.6428571428571428,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
19,1.0,223,38.0,3.0,26.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,33.0,0.027385892000000002,4.189498485,5.708348212000001,5.0,0.029411765,1.669453333,1.308367858,12.0,0.033333333,3.6374513889999998,3.8579836289999996,1069.0,5.0,711.0,96.0,3.0,243.5,351.0,2.0,232.0,311.0,2.0,2.75,1.625,1.8333333330000001,3.083333333,2.583333333,0.8309523809999999,1.2936507940000002,0.6023809520000001,1.472789116,0.7222222220000001
